project_id,latitude,longitude,neighbourhood_cleansed,price,room_type,accommodates,bedrooms,beds,host_is_superhost,number_of_reviews,reviews_per_month,review_scores_rating,minimum_nights,availability_365,amenities_count,bathrooms,NEAR_DIST,House_Buffer_metro_500Join,House_Buffer_metro_100Join,House_Buffer_bus_500Join,House_Buffer_bus_100Join,count_shop_500m,count_rest_500m,count_commercial_500m,dist_to_beach,dist_to_park,dist_to_water,dist_to_tour
6365,22.3727375,114.1154853,Tsuen Wan,999,Entire home/apt,4,1,2,0,6,1.59,5,1,358,14,1,248.22080304612064,1,0,116,8,36,83,119,3080.9940670115266,215.9289723805757,415.3744294552492,3222.775193532648
6366,22.2871702,114.1471168,Central & Western,788,Entire home/apt,2,1,1,0,0,0,0,1,325,5,1,499.5490032297338,1,0,69,5,28,88,116,3072.179867273477,83.42795364149147,132.39489650023586,560.3001611164606
6368,22.29789001624842,114.17331524986524,Yau Tsim Mong,1700,Entire home/apt,9,4,5,0,11,2.46,5,2,95,6,1,315.09949632826556,1,0,100,0,56,298,354,3751.207246937128,307.3333373033417,289.4108103170024,423.6363206883905
6369,22.295662453034407,114.17273917270283,Yau Tsim Mong,1173,Entire home/apt,4,2,3,0,1,0.59,5,2,307,6,1,240.66317458534903,1,0,97,11,47,244,291,3885.530222442212,224.2816248992596,128.84838793418544,172.11788015736084
6370,22.28229,114.18505,Wan Chai,360,Private room,1,1,1,0,0,0,0,28,326,6,1,707.7221335756539,0,0,98,4,36,181,217,4173.728915077245,113.53363347888248,469.1777061056833,324.22912808647624
6371,22.28508424777995,114.1517867167358,Central & Western,596,Entire home/apt,4,1,1,0,1,0.29,5,28,317,8,1,943.1611324432295,0,0,123,2,49,316,365,3451.7608327204102,174.39273194620506,151.3966824779087,122.01847909150143
6372,22.314301725483617,114.17028984010784,Yau Tsim Mong,350,Private room,1,1,1,0,0,0,0,28,265,6,1,1142.7940342515394,0,0,96,18,56,168,224,2517.260744171296,116.46182031356297,963.8869264045998,320.4251127792443
6373,22.323530634942063,114.17086388235664,Yau Tsim Mong,414,Private room,2,1,1,0,0,0,0,1,250,13,1,283.11047862583007,1,0,120,3,44,124,168,2463.464865086909,267.3894023741468,266.8030131415124,123.76181639179669
6374,22.284939183805616,114.14376483261834,Central & Western,2160,Entire home/apt,7,3,5,0,0,0,0,2,176,11,2,128.02635207541914,1,0,66,1,23,84,107,2683.4043367914005,94.21592087000973,323.61302042718927,899.0823086645939
6375,22.2963912,114.1734286,Yau Tsim Mong,194,Private room,10,10,10,0,0,0,0,28,89,18,1,192.6999119299488,1,0,92,0,53,267,320,3876.253387854764,247.8212144305337,235.94287759394928,277.0637070684729
